model_name,task_name,total_trials,trial_ids,trial_names,successful_trials,execution_times_sec,setup_times_sec,success_rate,resolves_task,successful_trial_ids
OpenAI/gpt-oss-20B,adaptive-rejection-sampler,5,"['561d7842-83b8-4a42-b69a-65cf1e9fad86', '8afc75a0-d7fa-476a-8446-a550a85dfed3', 'bfa8776a-80a9-415d-852c-96443f9b1d53', '151073a2-a54b-4f6e-8442-b7fbf8ed6d8b', '7bd796df-e2b8-4d9e-9ba7-79fcc6617b53']","['adaptive-rejection-sampler__XZiZTFd', 'adaptive-rejection-sampler__8n5ggAM', 'adaptive-rejection-sampler__gxfqL2r', 'adaptive-rejection-sampler__p55YjWV', 'adaptive-rejection-sampler__QPav52F']",0,"[356.535976, 143.258045, 85.64665, 133.689527, 155.80654]","[36.204383, 50.093515, 26.960509, 137.441468, 57.103727]",0.0,False,[]
OpenAI/gpt-oss-20B,bn-fit-modify,5,"['4bba3d44-015c-4200-b85a-ab3e5c8aed1d', '5433cf05-62ee-421d-98a5-869a8e759388', '06212dbc-e651-40e9-b820-52531b9c06a2', '060c3b7f-3ca7-4d76-9679-50f464e8ee2a', '3f96f923-505b-417b-ba4c-db87355276a3']","['bn-fit-modify__itWp4xH', 'bn-fit-modify__3RiqRTz', 'bn-fit-modify__ZEB4GhA', 'bn-fit-modify__EAwb4U2', 'bn-fit-modify__twJvU7b']",0,"[1900.158172, 3603.325587, 79.49707, 254.911604, 138.079409]","[28.216681, 14.425012, 22.310754, 202.211089, 96.883074]",0.0,False,[]
OpenAI/gpt-oss-20B,break-filter-js-from-html,5,"['3e75109c-dca6-48d8-811a-5c11cd582bfc', 'bfb7ed66-7436-4b27-bd32-e7b979be28c0', '39a144f0-d030-4241-92e0-34e1aa0742b8', 'b30e7168-b15f-4fc1-ae27-dfd4ecd24dfc', '70adc40b-624b-4249-b8c4-71265ef42d2a']","['break-filter-js-from-html__uLoNBna', 'break-filter-js-from-html__JfRgzn8', 'break-filter-js-from-html__TYDqLuT', 'break-filter-js-from-html__Hx9WLLk', 'break-filter-js-from-html__BCbKkge']",0,"[91.586926, 65.606627, 91.90294, 104.0089, 247.076007]","[13.194741, 44.462491, 88.774913, 116.258986, 80.839722]",0.0,False,[]
OpenAI/gpt-oss-20B,build-cython-ext,5,"['76f5c077-dde5-4026-837f-1acfe41f861d', 'e722ba2f-8654-4ae3-804b-678cd2824d2a', '32f14803-ec52-440f-8a12-0cad8c9760ea', 'f69f4d15-4421-4a0f-8f73-2008d632673f', 'b13313d9-5438-46be-ae96-e0f67366f950']","['build-cython-ext__MQPLwV5', 'build-cython-ext__ztfPQcf', 'build-cython-ext__cJ3kLxr', 'build-cython-ext__S7VHE3p', 'build-cython-ext__MnHvsU4']",0,"[900.035396, 900.344872, 68.01344, 908.079582, 152.200359]","[53.304185, 12.091994, 88.384178, 64.562149, 70.577813]",0.0,False,[]
OpenAI/gpt-oss-20B,build-initramfs-qemu,5,"['fd0833bc-42b9-43c0-ace8-4ab501c51855', '735d02ac-4a7f-41d6-89de-177acbdfe2dc', '639ce984-cf12-41cc-ae92-21d7b63f7f30', 'e9a59387-1fcd-434b-bf47-ee3835be3fd8', '3bb03f30-e18b-4f4f-a320-aac0d1896623']","['build-initramfs-qemu__KXQSGU9', 'build-initramfs-qemu__g3CEhZ2', 'build-initramfs-qemu__jSvgtEE', 'build-initramfs-qemu__SaRY9cs', 'build-initramfs-qemu__ZB3f2Bw']",0,"[29.739768, 260.08733, 76.339363, 47.463443, 49.997346]","[10.189678, 72.982065, 153.2956, 7.903013, 26.253912]",0.0,False,[]
OpenAI/gpt-oss-20B,build-pmars,5,"['437f079f-caf5-48c8-95b1-89039ff6c5c9', 'e4da006e-8250-4cb3-b54c-42d38e2be7cd', '5b43a50e-c179-4749-bec9-4e61b6a09273', '0e064c95-5952-48c4-a446-b36343aef6d4', '053f8996-cefb-46ab-9ef1-78234c2cf87c']","['build-pmars__LzCa6K8', 'build-pmars__Zac5Msa', 'build-pmars__oGMtgvC', 'build-pmars__bo4BQeK', 'build-pmars__pfEaEPa']",0,"[235.343206, 900.788083, 155.506388, 93.49419, 926.337452]","[2.984802, 36.048627, 9.480113, 11.479001, 29.737258]",0.0,False,[]
OpenAI/gpt-oss-20B,build-pov-ray,5,"['74324bec-f1be-4d47-a7cc-b72993ddc0da', '6ccc8c1a-2433-4123-ae3e-7d6bb58f5d19', '18aab19a-ca7e-444b-8372-dda7abb9b3f9', 'c941f4df-e03f-4abf-ad88-8de43c3be3bf', 'ac89b36e-386b-4d93-813d-c24e88224aae']","['build-pov-ray__txpnc9X', 'build-pov-ray__5db5ngt', 'build-pov-ray__HwQDfe5', 'build-pov-ray__8FP83uq', 'build-pov-ray__VewweaW']",0,"[130.354514, 788.412803, 250.990985, 110.50938, 106.784039]","[76.700355, 70.701523, 9.128604, 37.147718, 37.693313]",0.0,False,[]
OpenAI/gpt-oss-20B,cancel-async-tasks,5,"['48158799-107d-421b-b34e-02fa5a8d38c5', 'a322daa4-5bd5-44b2-ac24-f699a5301179', '65793433-8b24-453c-8d2e-343f8ad68ecc', '71170a6c-0013-4658-9225-e1c911803c0d', '2292ab98-2e7a-4557-a861-3a55dc2f308c']","['cancel-async-tasks__2KbotSd', 'cancel-async-tasks__Tfug3LY', 'cancel-async-tasks__E68Su68', 'cancel-async-tasks__5fSQ4X4', 'cancel-async-tasks__cmksCV9']",0,"[47.596013, 15.837117, 40.721059, 18.26774, 42.635609]","[51.303026, 85.78533, 56.108009, 162.581708, 64.591333]",0.0,False,[]
OpenAI/gpt-oss-20B,chess-best-move,5,"['3ea753e1-fe93-4202-af79-4ab725485edf', 'e6b5cecc-812d-43ed-a808-f36276f54b3e', 'd9161c9e-95b9-404e-8e29-5e2806179721', '07bec61b-b81e-430f-89af-0cd357b06d3b', '0a34123c-a794-4328-8737-19ad0a7087d4']","['chess-best-move__ABYdpxw', 'chess-best-move__FDQ5uTm', 'chess-best-move__YMpnusC', 'chess-best-move__CGFhTQm', 'chess-best-move__woxDZzA']",0,"[54.659025, 91.240332, 35.322172, 835.851092, 57.042881]","[36.503218, 98.528029, 66.665917, 13.25733, 6.722724]",0.0,False,[]
OpenAI/gpt-oss-20B,circuit-fibsqrt,5,"['120fc17b-a4a6-44d3-8086-4ab7ff3a8508', '11f82b89-1f7f-49b5-88d5-728824e335eb', '42979eaf-056d-47bf-b494-6908f91d1bee', '4ada5ba2-e124-4f16-b1d7-f3196cfd1fff', '790e2529-d424-46a6-947b-5d207053c57b']","['circuit-fibsqrt__vGKeDtL', 'circuit-fibsqrt__xf4h5FN', 'circuit-fibsqrt__Uydy5RB', 'circuit-fibsqrt__Qxzqf7K', 'circuit-fibsqrt__7YHZUv7']",0,"[285.791206, 103.985823, 81.249671, 78.605927, 2432.870014]","[8.37542, 24.721528, 15.490625, 34.264113, 33.115557]",0.0,False,[]
