model_name,avg_input_tokens,std_input_tokens,total_input_tokens,avg_output_tokens,std_output_tokens,total_output_tokens,avg_total_tokens,std_total_tokens,total_all_tokens,success_rate,trial_count,avg_execution_time
OpenAI/gpt-oss-20B,1959.043,2396.797,724846,5220.678,8570.833,1931651,7179.722,10685.421,2656497,0.022,370,458.837
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,11984.381,10899.494,4470174,7690.15,7581.654,2868426,19674.531,17832.17,7338600,0.182,373,979.649
claude-opus-4-1-20250805,13187.472,12669.744,7661921,9154.542,11323.978,5318789,22342.014,23413.549,12980710,0.334,581,842.141
claude-sonnet-4-20250514,11510.394,9870.181,4235825,7510.769,6605.042,2763963,19021.163,15748.775,6999788,0.293,368,900.255
deepseek-ai/DeepSeek-V3.1,11719.862,9994.743,4324629,7578.585,7752.439,2796498,19298.447,17055.243,7121127,0.225,369,821.944
gemini-2.5-flash,10588.9,13732.032,3928482,12355.544,19644.816,4583907,22944.445,31436.818,8512389,0.119,371,901.462
gemini-2.5-pro,9311.374,8524.477,3435897,5760.295,7759.136,2125549,15071.669,15217.249,5561446,0.271,369,838.168
gpt-5,8003.887,6814.275,3553726,7244.876,8833.919,3216725,15248.764,14628.443,6770451,0.342,444,866.216
gpt-5-mini,8833.747,8853.105,3241985,8133.232,9927.629,2984896,16966.978,18224.314,6226881,0.204,367,913.615
gpt-5-nano,10810.393,9850.716,3989035,10083.995,10144.839,3720994,20894.388,18896.734,7710029,0.089,369,1131.244
grok-4-0709,6227.531,6359.392,2297959,3365.954,4466.984,1242037,9593.485,9996.991,3539996,0.206,369,1010.396
grok-code-fast-1,5936.671,5185.559,2202505,3159.027,3099.79,1171999,9095.698,7714.732,3374504,0.132,371,456.191
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,8508.352,11418.915,3139582,3762.491,3967.62,1388359,12270.843,14916.197,4527941,0.065,369,545.83
moonshotai/Kimi-K2-Instruct-0905,12300.351,11064.253,4588031,8263.18,7526.13,3082166,20563.531,17891.589,7670197,0.214,373,955.649
openai/gpt-oss-120b,6135.778,6044.209,2239559,4957.871,5707.363,1809623,11093.649,11082.198,4049182,0.148,365,613.336
zai-org/GLM-4.5-Air-FP8,12541.348,11057.971,4652840,9326.097,8545.432,3459982,21867.445,18239.253,8112822,0.14,371,816.14
