task_name,avg_input_tokens,std_input_tokens,avg_output_tokens,std_output_tokens,avg_total_tokens,std_total_tokens,success_rate,trial_count,avg_execution_time
adaptive-rejection-sampler,9183.542,4161.453,9002.217,6385.061,18185.759,8863.874,0.108,83,786.444
bn-fit-modify,16394.512,9810.175,10845.262,10007.526,27239.774,17812.782,0.25,84,1365.082
break-filter-js-from-html,5584.151,4607.83,6056.419,5223.179,11640.57,9687.021,0.07,86,755.555
build-cython-ext,13551.88,5635.135,5448.361,3209.982,19000.241,7075.307,0.012,83,823.956
build-initramfs-qemu,5783.676,5510.737,3841.704,2557.165,9625.38,7586.706,0.0,71,544.652
build-pmars,11535.771,5312.788,4704.012,3067.487,16239.783,7155.221,0.542,83,693.679
build-pov-ray,18762.843,12833.725,12542.386,14637.326,31305.229,24471.355,0.337,83,2252.415
cancel-async-tasks,2487.867,3347.51,2072.831,4236.314,4560.699,7544.181,0.361,83,254.164
chess-best-move,9706.635,5482.424,6159.624,3890.598,15866.259,8505.186,0.0,85,594.471
circuit-fibsqrt,18915.75,15887.294,25325.964,24673.44,44241.714,37781.875,0.048,84,2135.446
cobol-modernization,7867.738,4619.624,6694.202,4893.023,14561.94,9169.413,0.583,84,647.164
code-from-image,10601.169,8219.201,7749.578,7280.605,18350.747,15076.218,0.253,83,672.54
configure-git-webserver,6045.548,2346.025,2217.464,1267.782,8263.012,3304.735,0.429,84,451.294
constraints-scheduling,5642.291,3488.338,4705.779,3524.522,10348.07,6835.655,0.721,86,401.496
count-dataset-tokens,10404.905,4383.928,4288.738,2088.391,14693.643,5053.81,0.024,84,682.087
crack-7z-hash,8804.36,4710.155,3713.791,2089.385,12518.151,6393.88,0.465,86,468.707
db-wal-recovery,5439.593,4088.903,5554.244,3603.438,10993.837,6780.914,0.023,86,612.106
distribution-search,12052.588,11126.675,12885.788,13799.708,24938.376,24538.476,0.341,85,1104.883
dna-assembly,10145.548,6232.93,7442.345,5152.376,17587.893,10299.724,0.0,84,571.913
dna-insert,7471.548,5158.202,4390.905,3348.264,11862.452,7420.837,0.0,84,377.99
extract-elf,6435.419,4827.268,3485.093,2475.985,9920.512,6648.269,0.407,86,361.398
feal-differential-cryptanalysis,10260.373,10576.331,11437.554,12502.187,21697.928,22408.426,0.096,83,854.631
feal-linear-cryptanalysis,15331.314,8204.789,16266.895,10339.788,31598.209,16822.711,0.105,86,1442.42
filter-js-from-html,4357.651,3967.394,4457.395,4417.707,8815.047,7997.704,0.0,86,394.898
financial-document-processor,10510.0,6164.39,6036.714,4186.933,16546.714,9892.573,0.012,84,583.616
fix-code-vulnerability,11657.607,6470.682,6482.5,3612.443,18140.107,8838.158,0.131,84,801.467
fix-git,4868.837,3264.13,2715.593,1778.886,7584.43,4674.079,0.698,86,351.226
fix-ocaml-gc,32869.446,18986.214,18819.928,12242.479,51689.373,27460.686,0.06,83,3008.228
form-filling,8378.699,5285.433,8332.819,8022.162,16711.518,12859.704,0.59,83,450.998
git-leak-recovery,2912.291,1877.633,2516.372,1833.869,5428.663,3572.333,0.616,86,319.109
gpt2-codegolf,6516.349,6362.41,6530.747,5123.224,13047.096,11157.328,0.0,83,584.129
hf-model-inference,5412.69,2755.896,2977.476,2369.971,8390.167,4686.722,0.512,84,425.103
install-klee-minimal,10249.857,5807.159,2715.893,1871.849,12965.75,6316.906,0.0,84,892.339
install-windows-3.11,8789.79,5637.779,6036.963,9131.686,14826.753,12993.759,0.0,81,841.276
large-scale-text-editing,5113.5,3527.271,4831.174,3379.049,9944.674,6259.843,0.198,86,715.538
largest-eigenval,8151.205,4397.735,6530.735,3549.328,14681.94,7655.999,0.06,83,792.718
log-summary-date-ranges,6393.209,3348.494,3028.14,2578.859,9421.349,5368.095,0.314,86,224.015
make-doom-for-mips,15244.186,7313.597,5326.012,2722.344,20570.198,8882.767,0.0,86,856.873
make-mips-interpreter,22068.325,12281.701,23991.133,14490.41,46059.458,21897.404,0.0,83,1704.065
merge-diff-arc-agi-task,10868.849,6008.19,5693.605,4173.081,16562.453,9710.534,0.291,86,620.743
model-extraction-relu-logits,4612.738,4173.486,4036.869,3696.77,8649.607,7704.033,0.071,84,478.149
mteb-leaderboard,10613.301,12394.097,7353.458,11099.627,17966.759,22119.563,0.0,83,886.108
mteb-retrieve,3352.155,3814.754,2231.75,2854.139,5583.905,6497.238,0.0,84,298.465
nginx-request-logging,4826.69,1562.973,3091.655,2393.633,7918.345,3511.287,0.5,84,392.873
openssl-selfsigned-cert,3084.0,1684.833,2519.476,2024.524,5603.476,3668.043,0.524,84,226.844
password-recovery,4818.977,2679.0,4695.105,2391.265,9514.081,4447.722,0.116,86,822.104
path-tracing,11415.12,12410.635,10044.831,10559.905,21459.952,21972.36,0.012,83,1045.419
path-tracing-reverse,16743.619,13727.698,12986.548,9996.51,29730.167,22806.208,0.012,84,1219.862
polyglot-c-py,5691.238,7274.526,5464.298,6469.71,11155.536,13073.5,0.048,84,513.514
polyglot-rust-c,5648.096,5149.473,6234.639,5627.488,11882.735,10654.25,0.0,83,704.382
port-compressor,41219.465,25136.328,34419.233,19900.245,75638.698,41679.973,0.012,86,3196.049
prove-plus-comm,2471.256,1513.801,2531.826,2240.575,5003.081,3684.174,0.663,86,341.061
pypi-server,5866.798,3929.936,3007.857,2203.771,8874.655,5746.63,0.476,84,427.736
pytorch-model-cli,6674.892,5294.467,4149.072,3079.792,10823.964,7737.753,0.12,83,481.068
pytorch-model-recovery,10663.965,5482.2,8684.953,4765.994,19348.918,9205.485,0.471,85,693.46
qemu-alpine-ssh,2518.434,1274.948,3464.494,2327.35,5982.928,3334.032,0.157,83,578.046
qemu-startup,2560.854,2730.714,2512.683,2022.604,5073.537,4230.129,0.28,82,480.642
regex-log,2460.354,2061.84,2244.988,2149.682,4705.341,4146.232,0.439,82,267.606
reshard-c4-data,6847.185,3896.795,5792.012,3752.124,12639.198,7256.112,0.025,81,617.392
reverse-engineering,15992.238,11227.678,12614.25,11435.36,28606.488,21237.874,0.095,84,1620.234
run-pdp11-code,6627.61,4322.427,4833.488,3357.998,11461.098,7093.743,0.0,82,742.973
sanitize-git-repo,9156.059,5367.246,3461.941,2142.098,12618.0,6849.576,0.024,85,546.928
schemelike-metacircular-eval,18621.134,12918.601,21160.402,16858.009,39781.537,28240.241,0.024,82,1705.127
sparql-university,5456.622,3124.541,2792.073,2076.83,8248.695,4942.519,0.122,82,371.516
sqlite-db-truncate,5023.988,2688.471,4025.2,2406.118,9049.188,4865.883,0.012,85,451.009
sqlite-with-gcov,7443.795,4000.523,2371.723,2583.694,9815.518,5400.562,0.47,83,404.705
torch-tensor-parallelism,3786.012,3712.744,2744.434,1983.906,6530.446,5315.308,0.0,83,285.298
train-fasttext,20995.805,12557.522,10207.585,6400.98,31203.39,15717.079,0.061,82,2893.165
tune-mjcf,8890.776,4114.678,7897.471,3616.388,16788.247,7029.962,0.141,85,829.488
video-processing,4218.146,2894.0,3735.902,2787.462,7954.049,5564.539,0.0,82,276.999
vulnerable-secret,6217.859,4192.066,5751.024,5319.715,11968.882,7612.159,0.294,85,723.133
wasm-pipeline,8439.181,4484.565,5252.349,2923.095,13691.53,6487.176,0.301,83,583.73
winning-avg-corewars,17315.073,12442.409,17002.159,13267.554,34317.232,25411.087,0.073,82,2183.03
write-compressor,7325.47,5563.372,7513.265,6644.994,14838.735,10854.736,0.024,83,838.518
