model_name,total_episodes,total_trials,successful_trials,success_rate
gpt-5,3102,444,152,0.34234234234234234
claude-opus-4-1-20250805,11468,581,194,0.33390705679862304
claude-sonnet-4-20250514,10346,368,108,0.29347826086956524
gemini-2.5-pro,4995,369,100,0.27100271002710025
deepseek-ai/DeepSeek-V3.1,8948,369,83,0.22493224932249323
moonshotai/Kimi-K2-Instruct-0905,11594,373,80,0.21447721179624665
grok-4-0709,3156,369,76,0.20596205962059622
gpt-5-mini,2688,367,75,0.20435967302452315
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,12467,373,68,0.18230563002680966
openai/gpt-oss-120b,4169,365,54,0.14794520547945206
zai-org/GLM-4.5-Air-FP8,10263,371,52,0.14016172506738545
grok-code-fast-1,2646,371,49,0.1320754716981132
gemini-2.5-flash,5992,371,44,0.11859838274932614
gpt-5-nano,5114,369,33,0.08943089430894309
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,4709,369,24,0.06504065040650407
OpenAI/gpt-oss-20B,8250,370,8,0.021621621621621623
